,dates,Ğ¢
0,2016-01-01 00:00:00,-20.5
1,2016-01-01 03:00:00,-19.6
4,2016-01-01 06:00:00,-18.2
5,2016-01-01 09:00:00,-16.5
6,2016-01-01 12:00:00,-17.5
7,2016-01-01 15:00:00,-18.6
8,2016-01-01 18:00:00,-19.6
9,2016-01-01 21:00:00,-18.5
10,2016-01-02 00:00:00,-17.1
11,2016-01-02 03:00:00,-17.0
14,2016-01-02 06:00:00,-16.0
15,2016-01-02 09:00:00,-14.9
16,2016-01-02 12:00:00,-18.5
17,2016-01-02 15:00:00,-20.1
18,2016-01-02 18:00:00,-21.7
19,2016-01-02 21:00:00,-21.0
20,2016-01-03 00:00:00,-20.3
21,2016-01-03 03:00:00,-19.6
24,2016-01-03 06:00:00,-18.0
25,2016-01-03 09:00:00,-16.3
26,2016-01-03 12:00:00,-19.2
27,2016-01-03 15:00:00,-18.8
28,2016-01-03 18:00:00,-14.7
29,2016-01-03 21:00:00,-11.5
30,2016-01-04 00:00:00,-12.8
31,2016-01-04 03:00:00,-12.5
34,2016-01-04 06:00:00,-12.7
35,2016-01-04 09:00:00,-10.8
36,2016-01-04 12:00:00,-12.8
37,2016-01-04 15:00:00,-16.2
38,2016-01-04 18:00:00,-17.2
39,2016-01-04 21:00:00,-17.5
40,2016-01-05 00:00:00,-16.2
41,2016-01-05 03:00:00,-16.1
44,2016-01-05 06:00:00,-15.3
45,2016-01-05 09:00:00,-12.9
46,2016-01-05 12:00:00,-12.8
47,2016-01-05 15:00:00,-15.0
48,2016-01-05 18:00:00,-17.1
49,2016-01-05 21:00:00,-16.4
50,2016-01-06 00:00:00,-15.9
51,2016-01-06 03:00:00,-18.4
54,2016-01-06 06:00:00,-18.8
55,2016-01-06 09:00:00,-18.0
56,2016-01-06 12:00:00,-19.9
57,2016-01-06 15:00:00,-19.1
58,2016-01-06 18:00:00,-20.0
59,2016-01-06 21:00:00,-21.0
60,2016-01-07 00:00:00,-21.1
61,2016-01-07 03:00:00,-21.8
64,2016-01-07 06:00:00,-19.3
65,2016-01-07 09:00:00,-18.0
66,2016-01-07 12:00:00,-21.1
67,2016-01-07 15:00:00,-23.2
68,2016-01-07 18:00:00,-24.7
69,2016-01-07 21:00:00,-25.6
70,2016-01-08 00:00:00,-25.7
71,2016-01-08 03:00:00,-25.9
74,2016-01-08 06:00:00,-23.3
75,2016-01-08 09:00:00,-20.9
76,2016-01-08 12:00:00,-24.8
77,2016-01-08 15:00:00,-23.8
78,2016-01-08 18:00:00,-24.0
79,2016-01-08 21:00:00,-25.2
80,2016-01-09 00:00:00,-23.7
81,2016-01-09 03:00:00,-22.4
84,2016-01-09 06:00:00,-15.7
85,2016-01-09 09:00:00,-12.0
86,2016-01-09 12:00:00,-13.8
87,2016-01-09 15:00:00,-17.5
88,2016-01-09 18:00:00,-12.9
89,2016-01-09 21:00:00,-12.5
90,2016-01-10 00:00:00,-13.0
91,2016-01-10 03:00:00,-12.3
94,2016-01-10 06:00:00,-9.8
95,2016-01-10 09:00:00,-6.4
96,2016-01-10 12:00:00,-6.7
97,2016-01-10 15:00:00,-5.0
98,2016-01-10 18:00:00,-5.5
99,2016-01-10 21:00:00,-4.1
100,2016-01-11 00:00:00,-4.2
101,2016-01-11 03:00:00,-3.3
104,2016-01-11 06:00:00,-1.0
105,2016-01-11 09:00:00,0.1
106,2016-01-11 12:00:00,1.6
107,2016-01-11 15:00:00,0.4
108,2016-01-11 18:00:00,1.5
109,2016-01-11 21:00:00,-1.3
110,2016-01-12 00:00:00,-4.0
111,2016-01-12 03:00:00,-2.9
114,2016-01-12 06:00:00,-2.2
115,2016-01-12 09:00:00,-0.1
116,2016-01-12 12:00:00,-0.3
117,2016-01-12 15:00:00,-4.6
118,2016-01-12 18:00:00,-8.6
119,2016-01-12 21:00:00,-10.6
120,2016-01-13 00:00:00,-15.6
121,2016-01-13 03:00:00,-15.2
124,2016-01-13 06:00:00,-14.9
125,2016-01-13 09:00:00,-13.3
126,2016-01-13 12:00:00,-15.1
127,2016-01-13 15:00:00,-17.6
128,2016-01-13 18:00:00,-20.0
129,2016-01-13 21:00:00,-21.2
130,2016-01-14 00:00:00,-21.9
131,2016-01-14 03:00:00,-19.5
134,2016-01-14 06:00:00,-18.1
135,2016-01-14 09:00:00,-15.6
136,2016-01-14 12:00:00,-17.2
137,2016-01-14 15:00:00,-18.0
138,2016-01-14 18:00:00,-18.0
139,2016-01-14 21:00:00,-19.3
140,2016-01-15 00:00:00,-18.9
141,2016-01-15 03:00:00,-15.8
144,2016-01-15 06:00:00,-12.4
145,2016-01-15 09:00:00,-9.5
146,2016-01-15 12:00:00,-9.9
147,2016-01-15 15:00:00,-11.8
148,2016-01-15 18:00:00,-11.1
149,2016-01-15 21:00:00,-11.1
150,2016-01-16 00:00:00,-10.2
151,2016-01-16 03:00:00,-9.7
154,2016-01-16 06:00:00,-8.0
155,2016-01-16 09:00:00,-6.0
156,2016-01-16 12:00:00,-5.6
157,2016-01-16 15:00:00,-6.6
158,2016-01-16 18:00:00,-5.6
159,2016-01-16 21:00:00,-5.0
160,2016-01-17 00:00:00,-5.2
161,2016-01-17 03:00:00,-7.6
164,2016-01-17 06:00:00,-11.3
165,2016-01-17 09:00:00,-12.0
166,2016-01-17 12:00:00,-14.6
167,2016-01-17 15:00:00,-16.3
168,2016-01-17 18:00:00,-17.7
169,2016-01-17 21:00:00,-21.3
170,2016-01-18 00:00:00,-22.7
171,2016-01-18 03:00:00,-23.5
174,2016-01-18 06:00:00,-21.7
175,2016-01-18 09:00:00,-19.6
176,2016-01-18 12:00:00,-22.2
177,2016-01-18 15:00:00,-22.4
178,2016-01-18 18:00:00,-23.9
179,2016-01-18 21:00:00,-25.1
180,2016-01-19 00:00:00,-24.4
181,2016-01-19 03:00:00,-24.2
184,2016-01-19 06:00:00,-18.5
185,2016-01-19 09:00:00,-16.8
186,2016-01-19 12:00:00,-17.0
187,2016-01-19 15:00:00,-20.2
188,2016-01-19 18:00:00,-21.2
189,2016-01-19 21:00:00,-18.5
190,2016-01-20 00:00:00,-18.1
191,2016-01-20 03:00:00,-17.6
194,2016-01-20 06:00:00,-14.8
195,2016-01-20 09:00:00,-13.2
196,2016-01-20 12:00:00,-13.3
197,2016-01-20 15:00:00,-14.0
198,2016-01-20 18:00:00,-14.1
199,2016-01-20 21:00:00,-13.3
200,2016-01-21 00:00:00,-12.6
201,2016-01-21 03:00:00,-13.1
204,2016-01-21 06:00:00,-10.2
205,2016-01-21 09:00:00,-8.3
206,2016-01-21 12:00:00,-9.4
207,2016-01-21 15:00:00,-10.2
208,2016-01-21 18:00:00,-10.9
209,2016-01-21 21:00:00,-11.2
210,2016-01-22 00:00:00,-11.5
211,2016-01-22 03:00:00,-10.9
214,2016-01-22 06:00:00,-8.5
215,2016-01-22 09:00:00,-4.4
216,2016-01-22 12:00:00,-9.2
217,2016-01-22 15:00:00,-10.7
218,2016-01-22 18:00:00,-12.7
219,2016-01-22 21:00:00,-14.8
220,2016-01-23 00:00:00,-15.3
221,2016-01-23 03:00:00,-15.2
224,2016-01-23 06:00:00,-17.3
225,2016-01-23 09:00:00,-16.3
226,2016-01-23 12:00:00,-17.6
227,2016-01-23 15:00:00,-19.3
228,2016-01-23 18:00:00,-19.6
229,2016-01-23 21:00:00,-13.4
230,2016-01-24 00:00:00,-12.7
231,2016-01-24 03:00:00,-12.1
234,2016-01-24 06:00:00,-8.4
235,2016-01-24 09:00:00,-3.8
236,2016-01-24 12:00:00,-8.1
237,2016-01-24 15:00:00,-14.1
238,2016-01-24 18:00:00,-15.1
239,2016-01-24 21:00:00,-10.7
240,2016-01-25 00:00:00,-17.1
241,2016-01-25 03:00:00,-15.5
244,2016-01-25 06:00:00,-16.4
245,2016-01-25 09:00:00,-12.8
246,2016-01-25 12:00:00,-16.7
247,2016-01-25 15:00:00,-16.0
248,2016-01-25 18:00:00,-16.6
249,2016-01-25 21:00:00,-17.6
250,2016-01-26 00:00:00,-17.9
251,2016-01-26 03:00:00,-18.0
254,2016-01-26 06:00:00,-11.5
255,2016-01-26 09:00:00,-9.9
256,2016-01-26 12:00:00,-12.4
257,2016-01-26 15:00:00,-19.4
258,2016-01-26 18:00:00,-20.9
259,2016-01-26 21:00:00,-22.4
260,2016-01-27 00:00:00,-23.9
261,2016-01-27 03:00:00,-22.8
264,2016-01-27 06:00:00,-17.5
265,2016-01-27 09:00:00,-11.2
266,2016-01-27 12:00:00,-14.2
267,2016-01-27 15:00:00,-15.0
268,2016-01-27 18:00:00,-15.6
269,2016-01-27 21:00:00,-15.0
270,2016-01-28 00:00:00,-12.7
271,2016-01-28 03:00:00,-9.4
274,2016-01-28 06:00:00,-7.3
275,2016-01-28 09:00:00,-7.8
276,2016-01-28 12:00:00,-8.6
277,2016-01-28 15:00:00,-9.8
278,2016-01-28 18:00:00,-11.1
279,2016-01-28 21:00:00,-13.9
280,2016-01-29 00:00:00,-15.6
281,2016-01-29 03:00:00,-17.3
284,2016-01-29 06:00:00,-13.5
285,2016-01-29 09:00:00,-9.9
286,2016-01-29 12:00:00,-13.4
287,2016-01-29 15:00:00,-15.1
288,2016-01-29 18:00:00,-15.5
289,2016-01-29 21:00:00,-15.2
290,2016-01-30 00:00:00,-16.6
291,2016-01-30 03:00:00,-15.3
294,2016-01-30 06:00:00,-12.6
295,2016-01-30 09:00:00,-10.4
296,2016-01-30 12:00:00,-10.5
297,2016-01-30 15:00:00,-10.3
298,2016-01-30 18:00:00,-11.0
299,2016-01-30 21:00:00,-13.3
300,2016-01-31 00:00:00,-14.2
301,2016-01-31 03:00:00,-10.3
304,2016-01-31 06:00:00,-6.6
305,2016-01-31 09:00:00,-4.0
306,2016-01-31 12:00:00,-4.1
307,2016-01-31 15:00:00,-3.9
308,2016-01-31 18:00:00,-3.5
309,2016-01-31 21:00:00,-4.1
310,2016-02-01 00:00:00,-5.2
311,2016-02-01 03:00:00,-5.3
314,2016-02-01 06:00:00,-4.6
315,2016-02-01 09:00:00,-4.3
316,2016-02-01 12:00:00,-5.9
317,2016-02-01 15:00:00,-7.5
318,2016-02-01 18:00:00,-9.0
319,2016-02-01 21:00:00,-9.6
320,2016-02-02 00:00:00,-10.5
321,2016-02-02 03:00:00,-11.0
324,2016-02-02 06:00:00,-10.1
325,2016-02-02 09:00:00,-7.1
326,2016-02-02 12:00:00,-8.2
327,2016-02-02 15:00:00,-9.0
328,2016-02-02 18:00:00,-11.6
329,2016-02-02 21:00:00,-13.7
330,2016-02-03 00:00:00,-16.6
331,2016-02-03 03:00:00,-16.8
334,2016-02-03 06:00:00,-12.0
335,2016-02-03 09:00:00,-9.6
336,2016-02-03 12:00:00,-9.4
337,2016-02-03 15:00:00,-9.9
338,2016-02-03 18:00:00,-10.0
339,2016-02-03 21:00:00,-10.5
340,2016-02-04 00:00:00,-9.9
341,2016-02-04 03:00:00,-9.2
344,2016-02-04 06:00:00,-7.2
345,2016-02-04 09:00:00,-5.8
346,2016-02-04 12:00:00,-5.9
347,2016-02-04 15:00:00,-4.3
348,2016-02-04 18:00:00,-2.0
349,2016-02-04 21:00:00,-0.8
350,2016-02-05 00:00:00,-0.5
351,2016-02-05 03:00:00,-0.2
354,2016-02-05 06:00:00,0.0
355,2016-02-05 09:00:00,-0.1
356,2016-02-05 12:00:00,0.0
357,2016-02-05 15:00:00,0.1
358,2016-02-05 18:00:00,0.8
359,2016-02-05 21:00:00,0.9
360,2016-02-06 00:00:00,-0.3
361,2016-02-06 03:00:00,-1.5
364,2016-02-06 06:00:00,-0.6
365,2016-02-06 09:00:00,0.1
366,2016-02-06 12:00:00,-0.6
367,2016-02-06 15:00:00,-0.7
368,2016-02-06 18:00:00,-1.8
369,2016-02-06 21:00:00,-1.0
370,2016-02-07 00:00:00,-2.2
371,2016-02-07 03:00:00,-1.8
374,2016-02-07 06:00:00,0.3
375,2016-02-07 09:00:00,2.3
376,2016-02-07 12:00:00,-0.4
377,2016-02-07 15:00:00,-1.9
378,2016-02-07 18:00:00,-1.4
379,2016-02-07 21:00:00,-1.4
380,2016-02-08 00:00:00,-1.6
381,2016-02-08 03:00:00,-2.1
384,2016-02-08 06:00:00,-3.7
385,2016-02-08 09:00:00,-4.6
386,2016-02-08 12:00:00,-5.6
387,2016-02-08 15:00:00,-7.9
388,2016-02-08 18:00:00,-11.7
389,2016-02-08 21:00:00,-13.0
390,2016-02-09 00:00:00,-13.8
391,2016-02-09 03:00:00,-16.6
394,2016-02-09 06:00:00,-14.4
395,2016-02-09 09:00:00,-12.5
396,2016-02-09 12:00:00,-14.6
397,2016-02-09 15:00:00,-17.6
398,2016-02-09 18:00:00,-20.1
399,2016-02-09 21:00:00,-21.1
400,2016-02-10 00:00:00,-22.6
401,2016-02-10 03:00:00,-23.4
404,2016-02-10 06:00:00,-19.8
405,2016-02-10 09:00:00,-16.3
406,2016-02-10 12:00:00,-18.4
407,2016-02-10 15:00:00,-18.9
408,2016-02-10 18:00:00,-19.7
409,2016-02-10 21:00:00,-19.2
410,2016-02-11 00:00:00,-17.3
411,2016-02-11 03:00:00,-15.5
414,2016-02-11 06:00:00,-13.3
415,2016-02-11 09:00:00,-10.9
416,2016-02-11 12:00:00,-11.4
417,2016-02-11 15:00:00,-12.0
418,2016-02-11 18:00:00,-12.0
419,2016-02-11 21:00:00,-12.2
420,2016-02-12 00:00:00,-13.7
421,2016-02-12 03:00:00,-13.0
424,2016-02-12 06:00:00,-11.9
425,2016-02-12 09:00:00,-11.2
426,2016-02-12 12:00:00,-10.6
427,2016-02-12 15:00:00,-10.2
428,2016-02-12 18:00:00,-9.8
429,2016-02-12 21:00:00,-10.4
430,2016-02-13 00:00:00,-12.2
431,2016-02-13 03:00:00,-11.4
434,2016-02-13 06:00:00,-9.2
435,2016-02-13 09:00:00,-7.3
436,2016-02-13 12:00:00,-8.0
437,2016-02-13 15:00:00,-8.4
438,2016-02-13 18:00:00,-13.0
439,2016-02-13 21:00:00,-12.2
440,2016-02-14 00:00:00,-12.9
441,2016-02-14 03:00:00,-13.5
444,2016-02-14 06:00:00,-8.6
445,2016-02-14 09:00:00,-6.9
446,2016-02-14 12:00:00,-9.5
447,2016-02-14 15:00:00,-11.3
448,2016-02-14 18:00:00,-15.0
449,2016-02-14 21:00:00,-15.2
450,2016-02-15 00:00:00,-17.3
451,2016-02-15 03:00:00,-18.8
454,2016-02-15 06:00:00,-14.4
455,2016-02-15 09:00:00,-11.4
456,2016-02-15 12:00:00,-14.4
457,2016-02-15 15:00:00,-16.0
458,2016-02-15 18:00:00,-16.4
459,2016-02-15 21:00:00,-15.8
460,2016-02-16 00:00:00,-17.1
461,2016-02-16 03:00:00,-17.7
464,2016-02-16 06:00:00,-15.1
465,2016-02-16 09:00:00,-11.7
466,2016-02-16 12:00:00,-11.4
467,2016-02-16 15:00:00,-14.6
468,2016-02-16 18:00:00,-17.7
469,2016-02-16 21:00:00,-19.2
470,2016-02-17 00:00:00,-20.3
471,2016-02-17 03:00:00,-20.1
474,2016-02-17 06:00:00,-15.2
475,2016-02-17 09:00:00,-13.1
476,2016-02-17 12:00:00,-12.9
477,2016-02-17 15:00:00,-12.9
478,2016-02-17 18:00:00,-13.4
479,2016-02-17 21:00:00,-13.6
480,2016-02-18 00:00:00,-13.8
481,2016-02-18 03:00:00,-14.1
484,2016-02-18 06:00:00,-10.8
485,2016-02-18 09:00:00,-7.1
486,2016-02-18 12:00:00,-8.7
487,2016-02-18 15:00:00,-10.3
488,2016-02-18 18:00:00,-9.7
489,2016-02-18 21:00:00,-11.9
490,2016-02-19 00:00:00,-12.9
491,2016-02-19 03:00:00,-13.5
494,2016-02-19 06:00:00,-9.6
495,2016-02-19 09:00:00,-1.9
496,2016-02-19 12:00:00,-6.3
497,2016-02-19 15:00:00,-9.9
498,2016-02-19 18:00:00,-10.4
499,2016-02-19 21:00:00,-12.2
500,2016-02-20 00:00:00,-12.3
501,2016-02-20 03:00:00,-11.1
504,2016-02-20 06:00:00,-4.2
505,2016-02-20 09:00:00,-2.0
506,2016-02-20 12:00:00,-5.7
507,2016-02-20 15:00:00,-9.6
508,2016-02-20 18:00:00,-12.2
509,2016-02-20 21:00:00,-9.9
510,2016-02-21 00:00:00,-11.0
511,2016-02-21 03:00:00,-8.7
514,2016-02-21 06:00:00,-3.9
515,2016-02-21 09:00:00,-2.3
516,2016-02-21 12:00:00,-3.8
517,2016-02-21 15:00:00,-7.0
518,2016-02-21 18:00:00,-8.0
519,2016-02-21 21:00:00,-9.7
520,2016-02-22 00:00:00,-10.9
521,2016-02-22 03:00:00,-10.3
524,2016-02-22 06:00:00,-6.9
525,2016-02-22 09:00:00,-3.3
526,2016-02-22 12:00:00,-4.5
527,2016-02-22 15:00:00,-8.7
528,2016-02-22 18:00:00,-9.5
529,2016-02-22 21:00:00,-11.4
530,2016-02-23 00:00:00,-11.4
531,2016-02-23 03:00:00,-11.1
534,2016-02-23 06:00:00,-5.8
535,2016-02-23 09:00:00,-3.5
536,2016-02-23 12:00:00,-2.8
537,2016-02-23 15:00:00,-2.7
538,2016-02-23 18:00:00,-1.8
539,2016-02-23 21:00:00,-1.1
540,2016-02-24 00:00:00,-0.8
541,2016-02-24 03:00:00,-1.8
544,2016-02-24 06:00:00,-0.6
545,2016-02-24 09:00:00,0.8
546,2016-02-24 12:00:00,0.4
547,2016-02-24 15:00:00,-0.3
548,2016-02-24 18:00:00,-0.5
549,2016-02-24 21:00:00,-0.8
550,2016-02-25 00:00:00,-2.4
551,2016-02-25 03:00:00,-2.3
554,2016-02-25 06:00:00,1.9
555,2016-02-25 09:00:00,5.2
556,2016-02-25 12:00:00,3.8
557,2016-02-25 15:00:00,2.9
558,2016-02-25 18:00:00,2.0
559,2016-02-25 21:00:00,2.4
560,2016-02-26 00:00:00,1.4
561,2016-02-26 03:00:00,2.5
565,2016-02-26 06:00:00,6.8
566,2016-02-26 09:00:00,7.8
567,2016-02-26 12:00:00,6.7
568,2016-02-26 15:00:00,3.5
569,2016-02-26 18:00:00,2.4
570,2016-02-26 21:00:00,2.3
571,2016-02-27 00:00:00,1.5
572,2016-02-27 03:00:00,1.4
576,2016-02-27 06:00:00,0.9
577,2016-02-27 09:00:00,1.1
578,2016-02-27 12:00:00,0.3
579,2016-02-27 15:00:00,-0.2
580,2016-02-27 18:00:00,-2.1
581,2016-02-27 21:00:00,-3.1
582,2016-02-28 00:00:00,-4.0
583,2016-02-28 03:00:00,-3.9
587,2016-02-28 06:00:00,-1.9
588,2016-02-28 09:00:00,-0.2
589,2016-02-28 12:00:00,0.0
590,2016-02-28 15:00:00,-1.2
591,2016-02-28 18:00:00,-1.2
592,2016-02-28 21:00:00,-2.1
593,2016-02-29 00:00:00,-3.1
594,2016-02-29 03:00:00,-3.0
598,2016-02-29 06:00:00,-2.5
599,2016-02-29 09:00:00,-3.1
600,2016-02-29 12:00:00,-2.1
601,2016-02-29 15:00:00,-2.1
602,2016-02-29 18:00:00,-2.4
603,2016-02-29 21:00:00,-1.6
604,2016-03-01 00:00:00,-2.1
605,2016-03-01 03:00:00,-3.1
609,2016-03-01 06:00:00,-3.3
610,2016-03-01 09:00:00,-3.2
