,dates,Ğ¢
611,2016-03-01 12:00:00,-3.6
612,2016-03-01 15:00:00,-4.3
613,2016-03-01 18:00:00,-3.9
614,2016-03-01 21:00:00,-3.3
615,2016-03-02 00:00:00,-3.7
616,2016-03-02 03:00:00,-5.4
619,2016-03-02 06:00:00,-5.2
620,2016-03-02 09:00:00,-4.7
621,2016-03-02 12:00:00,-5.6
622,2016-03-02 15:00:00,-7.7
623,2016-03-02 18:00:00,-10.3
624,2016-03-02 21:00:00,-11.9
625,2016-03-03 00:00:00,-13.3
626,2016-03-03 03:00:00,-14.1
629,2016-03-03 06:00:00,-9.9
630,2016-03-03 09:00:00,-6.2
631,2016-03-03 12:00:00,-5.5
632,2016-03-03 15:00:00,-5.2
633,2016-03-03 18:00:00,-5.3
634,2016-03-03 21:00:00,-5.5
635,2016-03-04 00:00:00,-5.8
636,2016-03-04 03:00:00,-5.8
637,2016-03-04 06:00:00,-3.3
638,2016-03-04 09:00:00,-1.1
639,2016-03-04 12:00:00,-1.0
640,2016-03-04 15:00:00,-3.5
641,2016-03-04 18:00:00,-4.7
642,2016-03-04 21:00:00,-6.6
643,2016-03-05 00:00:00,-6.2
644,2016-03-05 03:00:00,-5.9
648,2016-03-05 06:00:00,0.1
649,2016-03-05 09:00:00,-0.1
650,2016-03-05 12:00:00,-0.6
651,2016-03-05 15:00:00,-0.8
652,2016-03-05 18:00:00,-1.0
653,2016-03-05 21:00:00,-1.8
654,2016-03-06 00:00:00,-3.1
655,2016-03-06 03:00:00,-4.2
659,2016-03-06 06:00:00,-2.2
660,2016-03-06 09:00:00,-0.8
661,2016-03-06 12:00:00,-0.5
662,2016-03-06 15:00:00,-1.6
663,2016-03-06 18:00:00,-3.1
664,2016-03-06 21:00:00,-4.0
665,2016-03-07 00:00:00,-5.0
666,2016-03-07 03:00:00,-4.6
670,2016-03-07 06:00:00,-3.6
671,2016-03-07 09:00:00,-1.0
672,2016-03-07 12:00:00,-2.2
673,2016-03-07 15:00:00,-3.8
674,2016-03-07 18:00:00,-5.7
675,2016-03-07 21:00:00,-6.4
676,2016-03-08 00:00:00,-6.3
677,2016-03-08 03:00:00,-5.8
681,2016-03-08 06:00:00,-1.3
682,2016-03-08 09:00:00,1.3
683,2016-03-08 12:00:00,-0.4
684,2016-03-08 15:00:00,-2.8
685,2016-03-08 18:00:00,-3.4
686,2016-03-08 21:00:00,-5.0
687,2016-03-09 00:00:00,-5.4
688,2016-03-09 03:00:00,-5.0
692,2016-03-09 06:00:00,1.6
693,2016-03-09 09:00:00,3.6
694,2016-03-09 12:00:00,2.7
695,2016-03-09 15:00:00,1.2
696,2016-03-09 18:00:00,-0.3
697,2016-03-09 21:00:00,-0.5
698,2016-03-10 00:00:00,-2.6
699,2016-03-10 03:00:00,-6.2
703,2016-03-10 06:00:00,-1.7
704,2016-03-10 09:00:00,0.4
705,2016-03-10 12:00:00,0.1
706,2016-03-10 15:00:00,-2.9
707,2016-03-10 18:00:00,-4.3
708,2016-03-10 21:00:00,-6.4
709,2016-03-11 00:00:00,-8.5
710,2016-03-11 03:00:00,-8.4
713,2016-03-11 06:00:00,0.7
714,2016-03-11 09:00:00,4.9
715,2016-03-11 12:00:00,3.3
716,2016-03-11 15:00:00,-0.6
717,2016-03-11 18:00:00,-0.6
718,2016-03-11 21:00:00,-2.1
719,2016-03-12 00:00:00,-3.4
720,2016-03-12 03:00:00,-2.4
723,2016-03-12 06:00:00,2.2
724,2016-03-12 09:00:00,3.9
725,2016-03-12 12:00:00,2.5
726,2016-03-12 15:00:00,0.2
727,2016-03-12 18:00:00,-1.5
728,2016-03-12 21:00:00,-2.3
729,2016-03-13 00:00:00,-1.9
730,2016-03-13 03:00:00,-0.2
733,2016-03-13 06:00:00,1.5
734,2016-03-13 09:00:00,1.6
735,2016-03-13 12:00:00,0.7
736,2016-03-13 15:00:00,-0.4
737,2016-03-13 18:00:00,-2.0
738,2016-03-13 21:00:00,-4.0
739,2016-03-14 00:00:00,-4.3
740,2016-03-14 03:00:00,-4.2
743,2016-03-14 06:00:00,-1.7
744,2016-03-14 09:00:00,0.2
745,2016-03-14 12:00:00,-1.2
746,2016-03-14 15:00:00,-1.7
747,2016-03-14 18:00:00,-3.8
748,2016-03-14 21:00:00,-4.0
749,2016-03-15 00:00:00,-4.6
750,2016-03-15 03:00:00,-5.4
753,2016-03-15 06:00:00,-2.4
754,2016-03-15 09:00:00,-0.4
755,2016-03-15 12:00:00,-1.0
756,2016-03-15 15:00:00,-1.2
757,2016-03-15 18:00:00,-1.4
758,2016-03-15 21:00:00,-2.0
759,2016-03-16 00:00:00,-2.1
760,2016-03-16 03:00:00,-1.0
763,2016-03-16 06:00:00,1.3
764,2016-03-16 09:00:00,1.1
765,2016-03-16 12:00:00,1.6
766,2016-03-16 15:00:00,-0.2
767,2016-03-16 18:00:00,-1.9
768,2016-03-16 21:00:00,-2.8
769,2016-03-17 00:00:00,-3.8
770,2016-03-17 03:00:00,-3.6
773,2016-03-17 06:00:00,-1.6
774,2016-03-17 09:00:00,-0.1
775,2016-03-17 12:00:00,-2.3
776,2016-03-17 15:00:00,-3.1
777,2016-03-17 18:00:00,-2.1
778,2016-03-17 21:00:00,-2.1
779,2016-03-18 00:00:00,-2.4
780,2016-03-18 03:00:00,-2.1
784,2016-03-18 06:00:00,-0.7
785,2016-03-18 09:00:00,0.3
786,2016-03-18 12:00:00,-0.3
787,2016-03-18 15:00:00,-2.0
788,2016-03-18 18:00:00,-2.8
789,2016-03-18 21:00:00,-2.7
790,2016-03-19 00:00:00,-3.4
791,2016-03-19 03:00:00,-2.0
794,2016-03-19 06:00:00,0.8
795,2016-03-19 09:00:00,1.9
796,2016-03-19 12:00:00,2.1
797,2016-03-19 15:00:00,2.2
798,2016-03-19 18:00:00,2.4
799,2016-03-19 21:00:00,1.8
800,2016-03-20 00:00:00,2.5
801,2016-03-20 03:00:00,3.5
804,2016-03-20 06:00:00,5.2
805,2016-03-20 09:00:00,6.6
806,2016-03-20 12:00:00,5.8
807,2016-03-20 15:00:00,3.9
808,2016-03-20 18:00:00,3.3
809,2016-03-20 21:00:00,3.7
810,2016-03-21 00:00:00,3.1
811,2016-03-21 03:00:00,3.7
814,2016-03-21 06:00:00,5.8
815,2016-03-21 09:00:00,6.8
816,2016-03-21 12:00:00,6.4
817,2016-03-21 15:00:00,0.8
818,2016-03-21 18:00:00,-4.6
819,2016-03-21 21:00:00,-6.5
820,2016-03-22 00:00:00,-8.1
821,2016-03-22 03:00:00,-7.3
824,2016-03-22 06:00:00,-3.8
825,2016-03-22 09:00:00,-2.3
826,2016-03-22 12:00:00,-1.3
827,2016-03-22 15:00:00,-3.0
828,2016-03-22 18:00:00,-3.0
829,2016-03-22 21:00:00,-4.5
830,2016-03-23 00:00:00,-4.6
831,2016-03-23 03:00:00,-2.9
834,2016-03-23 06:00:00,4.0
835,2016-03-23 09:00:00,4.6
836,2016-03-23 12:00:00,3.8
837,2016-03-23 15:00:00,0.7
838,2016-03-23 18:00:00,0.9
839,2016-03-23 21:00:00,-0.6
840,2016-03-24 00:00:00,-0.3
841,2016-03-24 03:00:00,0.9
842,2016-03-24 06:00:00,2.1
843,2016-03-24 09:00:00,5.2
844,2016-03-24 12:00:00,5.8
845,2016-03-24 15:00:00,5.8
846,2016-03-24 18:00:00,3.8
847,2016-03-24 21:00:00,2.3
848,2016-03-25 00:00:00,1.0
849,2016-03-25 03:00:00,-0.3
850,2016-03-25 06:00:00,-1.0
851,2016-03-25 09:00:00,-0.8
852,2016-03-25 12:00:00,-0.5
853,2016-03-25 15:00:00,-0.5
854,2016-03-25 18:00:00,-1.2
855,2016-03-25 21:00:00,-2.2
856,2016-03-26 00:00:00,-3.8
857,2016-03-26 03:00:00,-3.0
858,2016-03-26 06:00:00,2.8
859,2016-03-26 09:00:00,6.2
860,2016-03-26 12:00:00,5.8
861,2016-03-26 15:00:00,3.7
862,2016-03-26 18:00:00,2.7
863,2016-03-26 21:00:00,1.5
864,2016-03-27 00:00:00,1.5
865,2016-03-27 03:00:00,1.1
866,2016-03-27 06:00:00,6.6
867,2016-03-27 09:00:00,6.9
868,2016-03-27 12:00:00,7.6
869,2016-03-27 15:00:00,5.4
870,2016-03-27 18:00:00,5.4
871,2016-03-27 21:00:00,4.3
872,2016-03-28 03:00:00,3.5
873,2016-03-28 06:00:00,4.4
874,2016-03-28 09:00:00,10.4
875,2016-03-28 12:00:00,12.7
876,2016-03-28 15:00:00,9.9
877,2016-03-28 18:00:00,7.7
878,2016-03-28 21:00:00,4.8
879,2016-03-29 00:00:00,2.7
880,2016-03-29 03:00:00,1.9
881,2016-03-29 06:00:00,2.7
882,2016-03-29 09:00:00,3.5
883,2016-03-29 12:00:00,3.4
884,2016-03-29 15:00:00,2.5
885,2016-03-29 18:00:00,2.9
886,2016-03-29 21:00:00,2.8
887,2016-03-30 00:00:00,2.8
888,2016-03-30 03:00:00,3.2
889,2016-03-30 06:00:00,3.8
890,2016-03-30 09:00:00,5.2
891,2016-03-30 12:00:00,7.2
892,2016-03-30 15:00:00,6.1
893,2016-03-30 18:00:00,5.8
894,2016-03-30 21:00:00,3.4
895,2016-03-31 00:00:00,2.4
896,2016-03-31 03:00:00,3.3
897,2016-03-31 06:00:00,4.8
898,2016-03-31 09:00:00,6.2
899,2016-03-31 12:00:00,5.5
900,2016-03-31 15:00:00,5.0
901,2016-03-31 18:00:00,4.9
902,2016-03-31 21:00:00,5.0
903,2016-04-01 00:00:00,4.5
904,2016-04-01 03:00:00,5.3
905,2016-04-01 06:00:00,6.9
906,2016-04-01 09:00:00,10.3
907,2016-04-01 12:00:00,10.5
908,2016-04-01 15:00:00,4.1
909,2016-04-01 18:00:00,2.5
910,2016-04-01 21:00:00,2.3
911,2016-04-02 00:00:00,2.4
912,2016-04-02 03:00:00,2.7
913,2016-04-02 06:00:00,2.9
914,2016-04-02 09:00:00,3.0
915,2016-04-02 12:00:00,4.5
916,2016-04-02 15:00:00,3.6
917,2016-04-02 18:00:00,1.9
918,2016-04-02 21:00:00,1.0
919,2016-04-03 00:00:00,0.8
920,2016-04-03 03:00:00,0.6
921,2016-04-03 06:00:00,4.3
922,2016-04-03 09:00:00,7.5
923,2016-04-03 12:00:00,9.0
924,2016-04-03 15:00:00,7.9
925,2016-04-03 18:00:00,6.3
926,2016-04-03 21:00:00,2.0
927,2016-04-04 00:00:00,0.7
928,2016-04-04 03:00:00,5.6
929,2016-04-04 06:00:00,12.4
930,2016-04-04 09:00:00,13.6
931,2016-04-04 12:00:00,13.2
932,2016-04-04 15:00:00,11.4
933,2016-04-04 18:00:00,9.1
934,2016-04-04 21:00:00,7.1
935,2016-04-05 00:00:00,6.9
936,2016-04-05 03:00:00,6.9
937,2016-04-05 06:00:00,13.2
938,2016-04-05 09:00:00,13.8
939,2016-04-05 12:00:00,14.6
940,2016-04-05 15:00:00,12.7
941,2016-04-05 18:00:00,7.2
942,2016-04-05 21:00:00,2.4
943,2016-04-06 00:00:00,2.9
944,2016-04-06 03:00:00,3.3
945,2016-04-06 06:00:00,6.9
946,2016-04-06 09:00:00,9.5
947,2016-04-06 12:00:00,8.5
948,2016-04-06 15:00:00,6.6
949,2016-04-06 18:00:00,5.7
950,2016-04-06 21:00:00,4.3
951,2016-04-07 00:00:00,4.0
952,2016-04-07 03:00:00,4.9
953,2016-04-07 06:00:00,7.1
954,2016-04-07 09:00:00,3.6
955,2016-04-07 12:00:00,5.3
956,2016-04-07 15:00:00,3.1
957,2016-04-07 18:00:00,1.9
958,2016-04-07 21:00:00,2.2
959,2016-04-08 00:00:00,2.2
960,2016-04-08 03:00:00,2.1
961,2016-04-08 06:00:00,5.8
962,2016-04-08 09:00:00,3.3
963,2016-04-08 12:00:00,5.2
964,2016-04-08 15:00:00,3.0
965,2016-04-08 18:00:00,1.2
966,2016-04-08 21:00:00,1.2
967,2016-04-09 00:00:00,0.8
968,2016-04-09 03:00:00,0.8
969,2016-04-09 06:00:00,3.5
970,2016-04-09 09:00:00,6.0
971,2016-04-09 12:00:00,8.0
972,2016-04-09 15:00:00,5.0
973,2016-04-09 18:00:00,3.7
974,2016-04-09 21:00:00,1.9
975,2016-04-10 00:00:00,1.5
976,2016-04-10 03:00:00,4.2
977,2016-04-10 06:00:00,9.5
978,2016-04-10 09:00:00,10.3
979,2016-04-10 12:00:00,10.1
980,2016-04-10 15:00:00,7.3
981,2016-04-10 18:00:00,7.2
982,2016-04-10 21:00:00,6.5
983,2016-04-11 00:00:00,6.4
984,2016-04-11 03:00:00,7.2
985,2016-04-11 06:00:00,12.2
986,2016-04-11 09:00:00,15.0
987,2016-04-11 12:00:00,15.5
988,2016-04-11 15:00:00,11.8
989,2016-04-11 18:00:00,9.4
990,2016-04-11 21:00:00,6.7
991,2016-04-12 00:00:00,5.4
992,2016-04-12 03:00:00,5.8
993,2016-04-12 06:00:00,12.4
994,2016-04-12 09:00:00,16.0
995,2016-04-12 12:00:00,16.5
996,2016-04-12 15:00:00,10.5
997,2016-04-12 18:00:00,6.3
998,2016-04-12 21:00:00,3.3
999,2016-04-13 00:00:00,2.4
1000,2016-04-13 03:00:00,5.5
1001,2016-04-13 06:00:00,8.9
1002,2016-04-13 09:00:00,11.0
1003,2016-04-13 12:00:00,10.9
1004,2016-04-13 15:00:00,7.7
1005,2016-04-13 18:00:00,4.8
1006,2016-04-13 21:00:00,5.9
1007,2016-04-14 00:00:00,4.4
1008,2016-04-14 03:00:00,7.0
1009,2016-04-14 06:00:00,12.8
1010,2016-04-14 09:00:00,15.5
1011,2016-04-14 12:00:00,16.1
1012,2016-04-14 15:00:00,13.1
1013,2016-04-14 18:00:00,10.9
1014,2016-04-14 21:00:00,9.1
1015,2016-04-15 00:00:00,7.0
1016,2016-04-15 03:00:00,10.5
1017,2016-04-15 06:00:00,16.2
1018,2016-04-15 09:00:00,19.2
1019,2016-04-15 12:00:00,19.3
1020,2016-04-15 15:00:00,16.6
1021,2016-04-15 18:00:00,14.1
1022,2016-04-15 21:00:00,11.9
1023,2016-04-16 00:00:00,10.4
1024,2016-04-16 03:00:00,12.3
1025,2016-04-16 06:00:00,17.8
1026,2016-04-16 09:00:00,19.9
1027,2016-04-16 12:00:00,21.2
1028,2016-04-16 15:00:00,15.8
1029,2016-04-16 18:00:00,11.9
1030,2016-04-16 21:00:00,7.2
1031,2016-04-17 00:00:00,7.6
1032,2016-04-17 03:00:00,13.8
1033,2016-04-17 06:00:00,19.2
1034,2016-04-17 09:00:00,20.9
1035,2016-04-17 12:00:00,20.8
1036,2016-04-17 15:00:00,16.8
1037,2016-04-17 18:00:00,13.8
1038,2016-04-17 21:00:00,10.1
1039,2016-04-18 00:00:00,11.0
1040,2016-04-18 03:00:00,13.5
1041,2016-04-18 06:00:00,19.0
1042,2016-04-18 09:00:00,23.5
1043,2016-04-18 12:00:00,24.7
1044,2016-04-18 15:00:00,22.2
1045,2016-04-18 18:00:00,17.5
1046,2016-04-18 21:00:00,14.7
1047,2016-04-19 00:00:00,12.6
1048,2016-04-19 03:00:00,15.8
1049,2016-04-19 06:00:00,19.1
1050,2016-04-19 09:00:00,21.4
1051,2016-04-19 12:00:00,20.9
1052,2016-04-19 15:00:00,15.8
1053,2016-04-19 18:00:00,13.6
1054,2016-04-19 21:00:00,11.7
1055,2016-04-20 00:00:00,10.0
1056,2016-04-20 03:00:00,15.7
1057,2016-04-20 06:00:00,18.8
1058,2016-04-20 09:00:00,19.6
1059,2016-04-20 12:00:00,14.4
1060,2016-04-20 15:00:00,12.5
1061,2016-04-20 18:00:00,11.3
1062,2016-04-20 21:00:00,11.8
1063,2016-04-21 00:00:00,10.4
1064,2016-04-21 03:00:00,13.6
1065,2016-04-21 06:00:00,19.1
1066,2016-04-21 09:00:00,21.3
1067,2016-04-21 12:00:00,16.3
1068,2016-04-21 15:00:00,13.2
1069,2016-04-21 18:00:00,11.5
1070,2016-04-21 21:00:00,9.4
1071,2016-04-22 00:00:00,8.5
1072,2016-04-22 03:00:00,9.1
1073,2016-04-22 06:00:00,12.5
1074,2016-04-22 09:00:00,14.2
1075,2016-04-22 12:00:00,14.4
1076,2016-04-22 15:00:00,14.7
1077,2016-04-22 18:00:00,12.0
1078,2016-04-22 21:00:00,10.0
1079,2016-04-23 00:00:00,7.9
1080,2016-04-23 03:00:00,14.3
1081,2016-04-23 06:00:00,19.5
1082,2016-04-23 09:00:00,21.0
1083,2016-04-23 12:00:00,21.5
1084,2016-04-23 15:00:00,17.3
1085,2016-04-23 18:00:00,14.3
1086,2016-04-23 21:00:00,12.0
1087,2016-04-24 00:00:00,9.8
1088,2016-04-24 03:00:00,8.0
1089,2016-04-24 06:00:00,8.3
1090,2016-04-24 09:00:00,12.8
1091,2016-04-24 12:00:00,15.9
1092,2016-04-24 15:00:00,12.5
1093,2016-04-24 18:00:00,8.4
1094,2016-04-24 21:00:00,6.8
1095,2016-04-25 00:00:00,5.5
1096,2016-04-25 03:00:00,10.7
1097,2016-04-25 06:00:00,15.1
1098,2016-04-25 09:00:00,16.0
1099,2016-04-25 12:00:00,16.5
1100,2016-04-25 15:00:00,11.4
1101,2016-04-25 18:00:00,8.6
1102,2016-04-25 21:00:00,4.0
1103,2016-04-26 00:00:00,2.0
1104,2016-04-26 03:00:00,9.5
1105,2016-04-26 06:00:00,13.2
1106,2016-04-26 09:00:00,15.7
1107,2016-04-26 12:00:00,14.4
1108,2016-04-26 15:00:00,11.8
1109,2016-04-26 18:00:00,9.8
1110,2016-04-26 21:00:00,5.0
1111,2016-04-27 00:00:00,5.9
1112,2016-04-27 03:00:00,10.3
1113,2016-04-27 06:00:00,14.4
1114,2016-04-27 09:00:00,15.3
1115,2016-04-27 12:00:00,14.7
1116,2016-04-27 15:00:00,9.1
1117,2016-04-27 18:00:00,5.2
1118,2016-04-27 21:00:00,3.7
1119,2016-04-28 00:00:00,1.9
1120,2016-04-28 03:00:00,6.3
1121,2016-04-28 06:00:00,9.3
1122,2016-04-28 09:00:00,11.2
1123,2016-04-28 12:00:00,11.1
1124,2016-04-28 15:00:00,9.3
1125,2016-04-28 18:00:00,6.2
1126,2016-04-28 21:00:00,4.8
1127,2016-04-29 00:00:00,1.8
1128,2016-04-29 03:00:00,7.5
1129,2016-04-29 06:00:00,11.9
1130,2016-04-29 09:00:00,12.8
1131,2016-04-29 12:00:00,12.2
1132,2016-04-29 15:00:00,9.5
1133,2016-04-29 18:00:00,4.3
1134,2016-04-29 21:00:00,2.2
1135,2016-04-30 00:00:00,0.7
1136,2016-04-30 03:00:00,9.1
1137,2016-04-30 06:00:00,14.0
1138,2016-04-30 09:00:00,14.7
1139,2016-04-30 12:00:00,15.3
1140,2016-04-30 15:00:00,12.1
1141,2016-04-30 18:00:00,6.4
1142,2016-04-30 21:00:00,4.8
1143,2016-05-01 00:00:00,2.5
1144,2016-05-01 03:00:00,11.7
1145,2016-05-01 06:00:00,15.4
1146,2016-05-01 09:00:00,16.3
1147,2016-05-01 12:00:00,16.3
1148,2016-05-01 15:00:00,13.9
1149,2016-05-01 18:00:00,12.9
1150,2016-05-01 21:00:00,7.5
1151,2016-05-02 00:00:00,7.1
1152,2016-05-02 03:00:00,12.8
